Island Group,Quality note,Quality,,Sample ID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,SPOT image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6,
Kalimantan,,9,,2948,Primary intact,NA,1992,High,Yes,High,No free cloud cover until 1993,2006,2005,Degraded - Selective Logging,High,,2007,2006,Cleared - Palm estates,High,,,,,,,Perkebunan,,Degraded - Selective Logging Cleared - Palm estates ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2949,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2950,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,citra tidak ada,  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2951,Primary degraded,NA,1990,High,Yes,High,,2003,2002,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Disagree - major,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2952,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Air,citra tidak ada,  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2953,Primary degraded,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Sekunder,citra tidak ada,  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2954,Primary degraded,NA,1996,High,Yes,High,,2000,1999,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Agree,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2955,Primary intact,NA,1991,High,Yes,High,,2015,2014,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2956,Non Forest,NA,1992,High,No,High,No free cloud cover until 1992,,,,,,,,,,,,,,,,Belukar,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2957,Primary intact,NA,1990,High,Yes,High,,1998,1997,Degraded - Nearby clearing,Low,,,,,,,,,,,,Hutan Rawa Sekunder,,Degraded - Nearby clearing  ,Disagree - minor,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2958,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2959,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,3,,2960,Non Forest,NA,1993,High,No,High,No free cloud cover until 1993,,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,2010,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2961,Non Forest,NA,1994,High,No,High,First free cloud image is in 1994,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - minor,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2962,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2963,Primary intact,NA,1990,High,Yes,High,,1998,1996,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2964,Non Forest,NA,1991,High,No,High,,,,,,,,,,,,,,,,,Belukar Rawa,citra tertutup awan,  ,Agree,No,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2965,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,2014,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2966,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2967,Primary intact,NA,1991,High,Yes,High,No free cloud cover until 1991,2013,2012,Degraded - Nearby clearing,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Nearby clearing  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2968,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Sawah,,  ,Agree,Yes,2016,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2969,Non Forest,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Belukar,,  ,Disagree - major,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2970,Primary intact,NA,1992,High,Yes,High,No free cloud cover until 1992,1994,1993,Degraded - Nearby clearing,High,No data in 1995 but there is some evidence in the Google Earth. The completely cleared pixel because of fire,1996,1994,Cleared - Abandoned/transitional,High,,2014,2013,Cleared - Palm estates,High,,Perkebunan,,Degraded - Nearby clearing Cleared - Abandoned/transitional Cleared - Palm estates,Disagree - minor,Yes,2015,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,6,,2971,Primary intact,NA,1990,High,Yes,High,,1997,1991,Degraded - Selective Logging,Low,No data from 1992-1996,,,,,,,,,,,Hutan Sekunder,citra berawan,Degraded - Selective Logging  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2972,Primary intact,NA,1990,High,No,High,,,,,,,,,,,,,,,,,Hutan Rawa Primer,,  ,Disagree - minor,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
Kalimantan,,9,,2973,Non Forest,NA,1994,High,No,High,"No free cloud cover until 1994, but image in 1989 shows that it is cleared land-abandoned",,,,,,,,,,,,,,,,Perkebunan,,  ,Agree,Yes,none,No,High,Yazid checked,,,,,,,,,,,,,,,,,,
