ISLAND,ID,FINAL_LU_UMD,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,NUM_CHANGE,X1990_LC,CH1_YR,CH1_TYPE,CH2_YR,CH2_TYPE,CH3_YR,CH3_TYPE,CH4_YR,CH4_TYPE,CH5_YR,CH5_TYPE,CH6_YR,CH6_TYPE,KLHK_LU,TRAJECTORY
Kalimantan,3354,Cleared - Palm estate,1999,Degraded - Fire,2010,Cleared - Abandoned,3,Primary intact,1999,Degraded - Fire,2010,Cleared - Abandoned,2016,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Fire > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,4977,Cleared - Palm estate,1994,Degraded - Selective logging,1998,Cleared - Abandoned,3,Primary degraded,1994,Degraded - Selective logging,1998,Cleared - Abandoned,2006,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Selective logging > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,4056,Cleared - Palm estate,1995,Degraded - Nearby clearing,1998,Cleared - Abandoned,3,Primary degraded,1995,Degraded - Nearby clearing,1998,Cleared - Abandoned,2009,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,4261,Cleared - Palm estate,1995,Degraded - Nearby clearing,2009,Cleared - Abandoned,3,Primary degraded,1995,Degraded - Nearby clearing,2009,Cleared - Abandoned,2013,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Kalimantan,5283,Cleared - Smallholder,1991,Degraded - Nearby clearing,1993,Cleared - Smallholder,3,Primary degraded,1991,Degraded - Nearby clearing,1993,Cleared - Smallholder,2005,Cleared - Smallholder,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary degraded > Degraded - Nearby clearing > Cleared - Smallholder > Cleared - Smallholder
Kalimantan,3877,Cleared - Tree plantation,2e3,Degraded - Fire,2001,Cleared - Tree plantation,3,Primary degraded,2000,Degraded - Fire,2001,Cleared - Tree plantation,2014,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary degraded > Degraded - Fire > Cleared - Tree plantation > Cleared - Tree plantation
Kalimantan,4624,Cleared - Fire,1998,Degraded - Fire,2008,Cleared - Fire,3,Primary degraded,1998,Degraded - Fire,2008,Cleared - Fire,2015,Cleared - Fire,0,NA,0,NA,0,NA,Belukar,Primary degraded > Degraded - Fire > Cleared - Fire > Cleared - Fire
Kalimantan,4358,Cleared - Smallholder,1999,Degraded - Selective logging,2005,Cleared - Smallholder,3,Primary degraded,1999,Degraded - Selective logging,2005,Cleared - Smallholder,2016,Cleared - Smallholder,0,NA,0,NA,0,NA,Pertanian Lahan Kering Campur Semak,Primary degraded > Degraded - Selective logging > Cleared - Smallholder > Cleared - Smallholder
Kalimantan,3148,Cleared - Fire,1992,Degraded - Selective logging,1998,Cleared - Fire,3,Primary degraded,1992,Degraded - Selective logging,1998,Cleared - Fire,2002,Cleared - Fire,0,NA,0,NA,0,NA,Belukar Rawa,Primary degraded > Degraded - Selective logging > Cleared - Fire > Cleared - Fire
Kalimantan,3893,Cleared - Fire,1996,Degraded - Nearby clearing,2004,Cleared - Abandoned,3,Primary degraded,1996,Degraded - Nearby clearing,2004,Cleared - Abandoned,2016,Cleared - Fire,0,NA,0,NA,0,NA,Belukar,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Fire
